1;2;3;4;5;6;7;8;9;10;11;12;13;14
162;Альфа;1448;Ж;31.07.1985;;;19.09.2008;10.29;10.29;10.29;66000.00;77548.00;Специалисты и служащие
163;Альфа;1456;М;13.04.1961;;;26.09.2008;10.28;20.67;20.67;171600.00;227689.00;Руководители
164;Альфа;1474;Ж;10.09.1968;;;20.10.2008;10.2;10.2;10.2;96100.00;112115.00;Специалисты и служащие
165;Альфа;1475;Ж;21.06.1986;;;16.10.2008;10.22;10.22;10.22;0.00;112194.00;Специалисты и служащие
166;Альфа;1478;М;20.09.1974;;;25.10.2016;10.21;18.8;18.8;199000.00;262106.00;Руководители
167;Альфа;1479;М;08.07.1962;;;20.10.2008;10.2;10.2;10.2;115500.00;138659.00;Специалисты и служащие
168;Альфа;1483;М;17.11.1978;;;21.10.2008;12.22;17.26;17.26;108500.00;158572.00;Специалисты и служащие
169;Альфа;1484;Ж;21.06.1984;;;22.10.2008;10.2;10.2;10.2;0.00;44750.00;Специалисты и служащие
170;Альфа;1485;Ж;19.10.1986;срочник;;01.12.2016;10.19;10.19;10.19;87000.00;97085.00;Специалисты и служащие
171;Альфа;1508;Ж;26.06.1975;;;13.11.2008;10.14;10.14;10.14;96000.00;138091.00;Специалисты и служащие
172;Альфа;1509;М;12.01.1980;;;20.02.2009;9.87;12.69;12.69;95000.00;172060.00;Специалисты и служащие
173;Альфа;1511;Ж;09.07.1988;;;01.02.2017;6.61;8.97;8.97;60000.00;61533.00;Специалисты и служащие
174;Альфа;1523;М;04.09.1984;;;15.12.2008;10.09;12.59;12.59;191000.00;293769.00;Руководители
175;Альфа;1524;Ж;13.01.1967;;;15.12.2008;10.05;23.93;23.93;95000.00;140480.00;Специалисты и служащие
176;Альфа;1528;Ж;28.12.1981;;;19.12.2008;10.04;10.04;10.04;105500.00;124379.00;Специалисты и служащие
177;Альфа;1532;Ж;05.03.1976;;;24.12.2008;10.04;10.04;10.04;118000.00;155631.00;Специалисты и служащие
178;Альфа;1539;Ж;02.01.1981;;;05.11.2013;8.06;13.19;13.19;103000.00;113286.00;Специалисты и служащие
179;Альфа;1540;Ж;07.04.1956;;;01.11.2008;10.17;10.17;10.17;27480.00;0.00;Специалисты и служащие
180;Альфа;1542;Ж;20.05.1980;;;11.01.2009;9.98;9.98;9.98;96000.00;128016.00;Специалисты и служащие
181;Альфа;1546;М;02.08.1982;;;05.07.2013;10.73;15.78;15.78;158000.00;262932.00;Руководители
182;Альфа;1551;М;24.04.1982;;;19.01.2009;9.95;9.95;9.95;74000.00;86439.00;Специалисты и служащие
183;Альфа;1558;М;15.12.1979;;;02.02.2009;9.92;10.64;10.64;126500.00;157725.00;Руководители
184;Альфа;1560;М;04.01.1972;;;03.02.2009;9.92;22.13;22.13;0.00;199741.00;Руководители
185;Альфа;1572;Ж;09.09.1964;;;27.02.2009;11.62;17.29;17.29;132000.00;153274.00;Специалисты и служащие
186;Альфа;1573;М;17.12.1969;;;10.02.2009;9.9;23.33;23.33;198000.00;258000.00;Руководители
187;Альфа;1582;Ж;10.05.1977;;;12.03.2009;9.81;9.81;9.81;72500.00;169572.00;Специалисты и служащие
188;Альфа;1585;М;19.06.1975;;;19.03.2009;9.78;9.78;9.78;84500.00;103806.00;Специалисты и служащие
189;Альфа;1593;Ж;24.09.1984;;;16.04.2009;9.71;9.71;9.71;68000.00;88926.00;Специалисты и служащие
190;Альфа;1594;Ж;14.06.1982;;;20.04.2009;9.71;9.71;9.71;81000.00;98270.00;Специалисты и служащие
191;Альфа;1595;Ж;22.01.1972;;;24.09.2012;8.01;8.54;8.54;105000.00;142429.00;Специалисты и служащие
